name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
berlin,2023-11-20T00:00:00,9.6,7.7,8.6,94.06,0.06,100,rain,0,0,27.7,12.9,233,1006.6,100,28.8,0,0,0,,"Rain, Overcast",rain,"00427,07389,03987,00403,E2835,00433,00400"
berlin,2023-11-20T01:00:00,9.7,7.7,8.9,94.31,0.061,100,rain,0,0,23.4,14.1,239,1006.5,100,22.1,0,0,0,,"Rain, Overcast",rain,"00427,07389,03987,00403,E2835,00433,00400"
berlin,2023-11-20T02:00:00,9.5,7.7,8.9,95.82,0.288,100,rain,0,0,23.8,12.2,227,1006.2,100,27.3,0,0,0,,"Rain, Overcast",rain,"00427,07389,03987,00403,E2835,00433,00400"
berlin,2023-11-20T03:00:00,9.3,7.4,8.7,95.87,0.04,100,rain,0,0,22.3,12.1,221,1006.1,100,23.9,0,0,0,,"Rain, Overcast",rain,"00427,07389,03987,00403,E2835,00433,00400"
berlin,2023-11-20T04:00:00,9.3,7.3,8.8,96.47,0.375,100,rain,0,0,22.3,12.9,221,1005.5,100,18,0,0,0,,"Rain, Overcast",rain,"00427,07389,03987,00403,E2835,00433,00400"
berlin,2023-11-20T05:00:00,9.3,7.5,8.9,97.45,0.904,100,rain,0,0,19.4,11.7,217,1005.2,100,20.9,0,0,0,,"Rain, Overcast",rain,"00427,07389,03987,00403,E2835,00433,00400"
berlin,2023-11-20T06:00:00,9.3,7.6,8.8,96.73,1.464,100,rain,0,0,19.1,11.3,217,1004.7,100,16.8,0,0,0,,"Rain, Overcast",rain,"00427,07389,03987,00403,E2835,00433,00400"
berlin,2023-11-20T07:00:00,9.2,8,8.8,96.79,0.307,100,rain,0,0,16.6,8.6,211,1004.6,100,21.5,0,0,0,,"Rain, Overcast",rain,"00427,07389,03987,00403,E2835,00433,00400"
berlin,2023-11-20T08:00:00,9.4,8.3,8.9,96.8,0.187,100,rain,0,0,16.6,7.8,232,1005,100,24.6,7,0,0,,"Rain, Overcast",rain,"00427,07389,03987,00403,E2835,00433,00400"
berlin,2023-11-20T09:00:00,9.5,8.7,9.2,97.73,0.248,100,rain,0,0,14,6.9,212,1005.2,100,9.5,14,0.1,0,,"Rain, Overcast",rain,"00427,07389,03987,00403,E2835,00433,00400"
berlin,2023-11-20T10:00:00,9.9,9.2,9.5,97.58,0.276,100,rain,0,0,13.3,6.6,256,1005.5,99.7,11.4,81,0.3,1,,"Rain, Overcast",rain,"00427,07389,03987,00403,E2835,00433,00400"
