name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
de bilt,2023-11-07T00:00:00,8.8,6.1,7.4,90.33,0,0,,0,0,25.9,18.4,200,1004.5,22.9,44.9,0,0,0,10,Partially cloudy,partly-cloudy-night,"06260099999,06356099999,06348099999,06240099999,06275099999,E3206,06269099999"
de bilt,2023-11-07T01:00:00,8.7,6.3,7.4,91.54,0.001,100,rain,0,0,25.2,14.4,210,1005,0.1,44.9,0,0,0,10,Rain,rain,"06260099999,06356099999,06348099999,06240099999,06275099999,E3206,06269099999"
de bilt,2023-11-07T02:00:00,9.3,7.1,7.5,88.54,0,0,,0,0,22.3,14.8,200,1005.5,100,44.9,0,0,0,10,Overcast,cloudy,"06260099999,06356099999,06348099999,06240099999,06275099999,E3206,06269099999"
de bilt,2023-11-07T03:00:00,9.1,6.5,7.4,88.52,0,0,,0,0,29.5,18.4,200,1005.8,99.9,44.9,0,0,0,10,Overcast,cloudy,"06260099999,06356099999,06348099999,06240099999,06275099999,E3206,06269099999"
de bilt,2023-11-07T04:00:00,9.1,7,7.4,88.53,0,0,,0,0,25.2,14.4,200,1005.8,100,44.9,0,0,0,10,Overcast,cloudy,"06260099999,06356099999,06348099999,06240099999,06275099999,E3206,06269099999"
de bilt,2023-11-07T05:00:00,8.8,6.5,7.4,90.33,0,0,,0,0,22.3,14.8,190,1005.9,100,40,0,0,0,10,Overcast,cloudy,"06260099999,06356099999,06348099999,06240099999,06275099999,E3206,06269099999"
de bilt,2023-11-07T06:00:00,8.3,5.5,6.9,90.29,0,0,,0,0,25.9,18.4,200,1006,10,44.9,0,0,0,10,Clear,clear-night,"06260099999,06356099999,06348099999,06240099999,06275099999,E3206,06269099999"
de bilt,2023-11-07T07:00:00,7.8,5.4,6.8,93.4,0,0,,0,0,21.6,14.4,200,1006.4,80,44.9,0,0,0,10,Partially cloudy,partly-cloudy-night,"D5777,06260099999,06356099999,06348099999,06240099999,06275099999,06269099999"
de bilt,2023-11-07T08:00:00,7.7,5.6,6.7,93.38,0,0,,0,0,18.4,11.2,200,1006.7,50,30,12,0,0,10,Partially cloudy,partly-cloudy-day,"D5777,06260099999,06356099999,06348099999,06240099999,06275099999,06269099999"
de bilt,2023-11-07T09:00:00,8.2,5.7,6.9,91.51,0,0,,0,0,31.3,14.8,200,1007.2,79.9,27,28,0.1,0,10,Partially cloudy,partly-cloudy-day,"D5777,06260099999,06249099999,06240099999,06275099999,06269099999,06344099999"
de bilt,2023-11-07T10:00:00,9.1,6.8,7.1,87.3,0,0,,0,0,32.4,14.4,210,1007.6,30.1,39.9,86,0.3,1,10,Partially cloudy,partly-cloudy-day,"D5777,06260099999,06356099999,06348099999,06240099999,06275099999,06269099999"
de bilt,2023-11-07T11:00:00,10.3,10.3,7.4,81.67,0,0,rain,0,0,25.9,18.4,220,1008,90,44.9,315,1.1,3,10,Partially cloudy,partly-cloudy-day,"06260099999,06356099999,06348099999,06240099999,06275099999,E3206,06269099999"
de bilt,2023-11-07T12:00:00,11.5,11.5,7.6,76.47,0,0,,0,0,31.7,22.3,210,1008.1,50,34.9,376,1.4,4,10,Partially cloudy,partly-cloudy-day,"06260099999,06356099999,06348099999,06240099999,06275099999,E3206,06269099999"
de bilt,2023-11-07T13:00:00,12.1,12.1,7.4,72.52,0.004,100,rain,0,0,32.4,18,230,1008,10.1,44.9,179,0.6,2,10,Rain,rain,"06260099999,06356099999,06348099999,06240099999,06275099999,E3206,06269099999"
de bilt,2023-11-07T14:00:00,11.7,11.7,7.2,73.92,0,0,,0,0,38.9,22.4,230,1008.1,90,44.9,117,0.4,1,10,Partially cloudy,partly-cloudy-day,"06260099999,06356099999,06348099999,06240099999,06275099999,E3206,06269099999"
de bilt,2023-11-07T15:00:00,12.5,12.5,7.7,72.1,0,0,rain,0,0,35.3,22.3,210,1008,100,35,33,0.1,0,10,Overcast,cloudy,"06260099999,06356099999,06348099999,06240099999,06275099999,E3206,06269099999"
de bilt,2023-11-07T16:00:00,11.1,11.1,7.2,76.4,0,0,rain,0,0,36,21.6,210,1008.3,89.9,44.9,97,0.3,1,10,Partially cloudy,partly-cloudy-day,"06260099999,06356099999,06348099999,06240099999,06275099999,E3206,06269099999"
