name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
paris,2023-11-20T00:00:00,10.5,10.5,8.3,85.9,0,0,,0,0,31.4,15.5,228,1017.7,66.5,16.9,0,0,0,,Partially cloudy,partly-cloudy-night,"07149099999,07156099999,07146099999,07157099999,C1292,07147099999,07150099999"
paris,2023-11-20T01:00:00,10.1,10.1,8.1,87.21,0,0,,0,0,34.6,15.3,228,1017.5,68.7,16.2,0,0,0,,Partially cloudy,partly-cloudy-night,"07149099999,07156099999,07146099999,07157099999,C1292,07147099999,07150099999"
paris,2023-11-20T02:00:00,10,10,8.1,87.92,0,0,,0,0,35,14.9,229,1017.3,87.6,17.4,0,0,0,,Partially cloudy,partly-cloudy-night,"07149099999,07156099999,07146099999,07157099999,C1292,07147099999,07150099999"
paris,2023-11-20T03:00:00,10.2,10.2,8,86.26,0,0,,0,0,36.8,13.7,244,1017.3,97.8,19.3,0,0,0,,Overcast,cloudy,"07149099999,07156099999,07146099999,07157099999,C1292,07147099999,07150099999"
paris,2023-11-20T04:00:00,10.2,10.2,8,86.2,0,0,,0,0,32,13.1,237,1017,99,18.4,0,0,0,,Overcast,cloudy,"07149099999,07156099999,07146099999,07157099999,C1292,07147099999,07150099999"
paris,2023-11-20T05:00:00,10.5,10.5,8,84.67,0,0,,0,0,32.3,14,229,1016.8,96.5,20.8,0,0,0,,Overcast,cloudy,"07149099999,07156099999,07146099999,07157099999,C1292,07147099999,07150099999"
paris,2023-11-20T06:00:00,10.5,10.5,8,84.8,0,0,,0,0,34.1,11.8,228,1016.4,94.1,19.6,0,0,0,,Overcast,cloudy,"07149099999,07156099999,07146099999,07157099999,C1292,07147099999,07150099999"
paris,2023-11-20T07:00:00,10.1,10.1,8,86.84,0,0,,0,0,29.9,14.5,229,1016,96.6,20,0,0,0,,Overcast,cloudy,"07149099999,07156099999,07146099999,07157099999,C1292,07147099999,07150099999"
paris,2023-11-20T08:00:00,10.2,10.2,8,86.01,0,0,,0,0,31.8,14.5,228,1016.1,99,21.1,0,0,0,,Overcast,cloudy,"07149099999,07156099999,07146099999,07157099999,C1292,07147099999,07150099999"
paris,2023-11-20T09:00:00,10.3,10.3,7.6,83.24,0,0,,0,0,37,15.1,228,1015.8,71.3,20,14,0.1,0,,Partially cloudy,partly-cloudy-day,"07149099999,07156099999,07146099999,07157099999,C1292,07147099999,07150099999"
paris,2023-11-20T10:00:00,10.8,10.8,7.6,80.82,0,0,,0,0,35.4,15.3,236,1015.5,89.2,23.1,18,0.1,0,,Partially cloudy,partly-cloudy-day,"07149099999,07156099999,07146099999,07157099999,C1292,07147099999,07150099999"
