name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
reykjavic,2023-11-07T00:00:00,1.5,-3.4,-0.5,86.3,0.036,100,"rain,snow",0,0,23.4,20.3,70,1004.1,100,30.6,0,0,0,10,"Snow, Rain, Overcast",rain,"04130099999,04038099999,04030099999,04018016201,BIKF,BIRK"
reykjavic,2023-11-07T01:00:00,1.9,-3.2,-0.2,85.71,0,0,,0,0,23.8,22.9,70,1004.1,100,10,0,0,0,10,Overcast,cloudy,"04130099999,04124099999,04030099999,04018016201,BIKF,BIRK"
reykjavic,2023-11-07T02:00:00,2.8,-1.9,-2,70.68,0,0,,0,0,22.7,21.8,77,1003.3,84.3,10,0,0,0,10,Partially cloudy,partly-cloudy-night,"04130099999,04034099999,04124099999,04038099999,04030099999,BIRK"
reykjavic,2023-11-07T03:00:00,2.4,-2.7,-1.5,75.48,0,0,,0,0,21.6,24.5,90,1003.5,82.5,30.6,0,0,0,10,Partially cloudy,partly-cloudy-night,"04130099999,04030099999,04018016201,BIKF,BIRK"
reykjavic,2023-11-07T04:00:00,2.9,-2.2,-0.2,79.89,0,0,,0,0,25.9,25.7,100,1003.1,89.4,10,0,0,0,10,Partially cloudy,partly-cloudy-night,"04130099999,04124099999,04030099999,04018016201,BIKF,BIRK"
reykjavic,2023-11-07T05:00:00,2.9,-1.9,-0.9,75.81,0,0,,0,0,29.2,22.9,97,1003.1,89.4,10,0,0,0,10,Partially cloudy,partly-cloudy-night,"04130099999,04124099999,04030099999,04018016201,BIKF,BIRK"
reykjavic,2023-11-07T06:00:00,2.9,-1.8,0.6,84.73,0.107,100,rain,0,0,29.2,21.6,100,1003.3,82.6,30.5,0,0,0,10,"Rain, Partially cloudy",rain,"04130099999,04038099999,04030099999,04018016201,BIKF,BIRK"
reykjavic,2023-11-07T07:00:00,2.9,-2.1,0.8,85.88,0,0,rain,0,0,29.2,24.9,110,1003.1,89.4,10,0,0,0,10,Partially cloudy,partly-cloudy-night,"04130099999,04124099999,04030099999,04018016201,BIKF,BIRK"
reykjavic,2023-11-07T08:00:00,3.8,-0.8,0.9,81.62,0,0,,0,0,29.9,23.1,110,1003.1,89.4,10,0,0,0,10,Partially cloudy,partly-cloudy-night,"04130099999,04124099999,04030099999,04018016201,BIKF,BIRK"
reykjavic,2023-11-07T09:00:00,3.6,-1.2,0.7,81.33,1.539,100,rain,0,0,32.4,24.9,118,1003.2,82.6,10,0,0,0,10,"Rain, Partially cloudy",rain,"04130099999,04038099999,04030099999,04018016201,BIKF,BIRK"
reykjavic,2023-11-07T10:00:00,3.9,-0.7,0.9,80.67,0,0,,0,0,33.8,23.6,110,1003.1,89.4,10,1,0,0,10,Partially cloudy,partly-cloudy-day,"04130099999,04124099999,04030099999,04018016201,BIKF,BIRK"
reykjavic,2023-11-07T11:00:00,4.9,0.9,0.8,75.09,0,0,,0,0,32.4,20.6,117,1003,89.4,10,17,0.1,0,10,Partially cloudy,partly-cloudy-day,"04130099999,04124099999,04030099999,04018016201,BIKF,BIRK"
reykjavic,2023-11-07T12:00:00,4.9,0.3,-0.1,70.12,0.107,100,rain,0,0,40.7,26.2,113,1002.2,50.2,10.1,73,0.3,1,10,"Rain, Partially cloudy",rain,"04130099999,04038099999,04030099999,04018016201,BIKF,BIRK"
reykjavic,2023-11-07T13:00:00,4.9,0.8,0.7,73.89,0,0,,0,0,40.7,21.3,110,1002.2,28.6,10,109,0.4,1,10,Partially cloudy,partly-cloudy-day,"04130099999,04124099999,04030099999,04018016201,BIKF,BIRK"
reykjavic,2023-11-07T14:00:00,4.9,1,-0.3,68.74,0,0,,0,0,41,20,107,1002.2,89,10,120,0.4,1,10,Partially cloudy,partly-cloudy-day,"04130099999,04124099999,04030099999,04018016201,BIKF,BIRK"
reykjavic,2023-11-07T15:00:00,4.3,0.6,-1.4,66.24,0,0,,0,0,38.9,17.4,92,1002.1,30.2,51.1,98,0.4,1,10,Partially cloudy,partly-cloudy-day,"04130099999,04038099999,04030099999,04018016201,BIKF,BIRK"
reykjavic,2023-11-07T16:00:00,3.9,-0.4,-1.2,69.48,0,0,,0,0,32.8,20.8,94,1001.1,89,10,54,0.2,1,10,Partially cloudy,partly-cloudy-day,"04130099999,04124099999,04030099999,04018016201,BIKF,BIRK"
reykjavic,2023-11-07T17:00:00,3.9,0.1,-2,65.5,0,0,,0,0,27.7,17.4,75,1000.2,50,10,9,0,0,10,Partially cloudy,partly-cloudy-night,"04130099999,04124099999,04030099999,04018016201,BIKF,BIRK"
reykjavic,2023-11-07T18:00:00,3.5,-1.1,-1.9,67.73,0.069,100,rain,0,0,20.2,21.8,80,1000.3,30.1,37.4,0,0,0,10,"Rain, Partially cloudy",rain,"04130099999,04038099999,04030099999,04018016201,BIKF,BIRK"
reykjavic,2023-11-07T19:00:00,3.8,-0.3,-2,65.85,0,0,,0,0,21.6,18.5,57,999.2,50,10,0,0,0,10,Partially cloudy,partly-cloudy-night,"04130099999,04124099999,04030099999,04018016201,BIKF,BIRK"
reykjavic,2023-11-07T20:00:00,3.9,-0.2,-2.1,65.08,0,0,,0,0,24.1,19.5,67,998.3,0,10,0,0,0,10,Clear,clear-night,"04130099999,04124099999,04030099999,04018016201,BIKF,BIRK"
reykjavic,2023-11-07T21:00:00,3.8,-0.7,-2.6,62.99,0.036,100,rain,0,0,27.4,22.5,62,998.5,40,34,0,0,0,10,"Rain, Partially cloudy",rain,"04130099999,04038099999,04030099999,04018016201,BIKF,BIRK"
reykjavic,2023-11-07T22:00:00,3.8,-0.4,-3,61.17,0,0,,0,0,29.9,19.5,64,997.3,1.1,10,0,0,0,10,Clear,clear-night,"04130099999,04124099999,04030099999,04018016201,BIKF,BIRK"
reykjavic,2023-11-07T23:00:00,4.8,0.4,-3,57.05,0,0,,0,0,29.2,23.1,67,997.1,2.9,10,0,0,0,10,Clear,clear-night,"04130099999,04124099999,04030099999,04018016201,BIKF,BIRK"
reykjavic,2023-11-08T00:00:00,4.8,0.8,-2.7,58.28,0,0,,0,0,33.8,20.8,65,996.9,80,34,0,0,0,10,Partially cloudy,partly-cloudy-night,"04130099999,04038099999,04030099999,04018016201,BIKF,BIRK"
reykjavic,2023-11-08T01:00:00,5.8,2.4,-2.9,53.56,0,0,,0,0,34.6,17.4,70,996.1,10.3,10,0,0,0,10,Clear,clear-night,"04130099999,04124099999,04030099999,04018016201,BIKF,BIRK"
reykjavic,2023-11-08T02:00:00,5.8,3.6,-3,53.43,0,0,,0,0,34.6,10.1,80,995.1,9.2,10,0,0,0,10,Clear,clear-night,"04130099999,D2431,04124099999,04030099999,04018016201,BIKF,BIRK"
reykjavic,2023-11-08T03:00:00,5.4,2.1,-3.3,53.52,0,0,,0,0,34.6,16.6,89,994.8,90,34,0,0,0,10,Partially cloudy,partly-cloudy-night,"04130099999,04030099999,04018016201,BIKF,BIRK"
reykjavic,2023-11-08T04:00:00,6.6,2.8,-5,43.17,0,0,,0,0,42.5,23.1,80,994.1,89.4,10,0,0,0,10,Partially cloudy,partly-cloudy-night,"04130099999,04124099999,04030099999,04018016201,BIKF,BIRK"
reykjavic,2023-11-08T05:00:00,5.8,2.2,-5,45.8,0,0,,0,0,33.1,19,70,994.1,58,10,0,0,0,10,Partially cloudy,partly-cloudy-night,"04130099999,04124099999,04030099999,04018016201,BIKF,BIRK"
reykjavic,2023-11-08T06:00:00,5.8,2.5,-5.7,43.42,0.036,100,rain,0,0,31.7,17,85,994.2,80,34,0,0,0,10,"Rain, Partially cloudy",rain,"04130099999,04038099999,04030099999,04018016201,BIKF,BIRK"
reykjavic,2023-11-08T07:00:00,5.8,2.1,-6.1,42.3,0,0,,0,0,31.7,20,100,993.3,50,10,0,0,0,10,Partially cloudy,partly-cloudy-night,"04130099999,04124099999,04030099999,04018016201,BIKF,BIRK"
reykjavic,2023-11-08T08:00:00,5,1.9,-5.1,48.05,0,0,,0,0,27.4,14.3,110,994,27.5,10,0,0,0,10,Partially cloudy,partly-cloudy-night,"04130099999,04124099999,04030099999,04018016201,BIKF,BIRK"
reykjavic,2023-11-08T09:00:00,4.7,2.5,-5,49.38,0,0,,0,0,24.8,9.4,100,994.2,68.8,44.2,0,0,0,10,Partially cloudy,partly-cloudy-night,"04130099999,04038099999,04030099999,04018016201,BIKF,BIRK"
reykjavic,2023-11-08T10:00:00,5.6,2.9,-4.9,46.54,0,0,,0,0,31.7,12.8,70,994.2,50,10,1,0,0,10,Partially cloudy,partly-cloudy-day,"04130099999,04124099999,04030099999,04018016201,BIKF,BIRK"
reykjavic,2023-11-08T11:00:00,5.9,3.6,-5.1,45.26,0,0,,0,0,32.4,10.7,87,994.2,50,10,27,0.1,0,10,Partially cloudy,partly-cloudy-day,"04130099999,04124099999,04030099999,04018016201,BIKF,BIRK"
reykjavic,2023-11-08T12:00:00,6.5,3.8,-5.1,43.44,0.107,100,rain,0,0,24.8,13.4,67,994.6,43.1,51.1,70,0.3,1,10,"Rain, Partially cloudy",rain,"04130099999,04038099999,04030099999,04018016201,BIKF,BIRK"
reykjavic,2023-11-08T13:00:00,7.8,4.6,-5.9,37.29,0,0,,0,0,25.9,19.4,44,995,50,10,98,0.4,1,10,Partially cloudy,partly-cloudy-day,"04130099999,04124099999,04030099999,04018016201,BIKF,BIRK"
reykjavic,2023-11-08T14:00:00,7.7,5.2,-4.3,42.1,0,0,,0,0,19.8,14.3,63,995.1,50,10,104,0.4,1,10,Partially cloudy,partly-cloudy-day,"04130099999,04124099999,04030099999,04018016201,BIKF,BIRK"
reykjavic,2023-11-08T15:00:00,6.9,4.8,-5.1,42.16,0,0,,0,0,11.5,11.1,55,995.3,50,23.7,89,0.3,1,10,Partially cloudy,partly-cloudy-day,"04130099999,04038099999,04030099999,04018016201,BIKF,BIRK"
reykjavic,2023-11-08T16:00:00,6.9,3.5,-5.8,40.05,0,0,,0,0,10.4,19.4,62,995.1,28.4,10,52,0.2,1,10,Partially cloudy,partly-cloudy-day,"04130099999,04124099999,04030099999,04018016201,BIKF,BIRK"
reykjavic,2023-11-08T17:00:00,6,3.3,-4.9,45.35,0,0,,0,0,10.1,13,60,995.1,28.4,10,7,0,0,10,Partially cloudy,partly-cloudy-night,"04130099999,04124099999,04030099999,04018016201,BIKF,BIRK"
reykjavic,2023-11-08T18:00:00,5.7,2.8,-4.2,49.01,0,0,,0,0,7.2,13.9,45,995.9,43.1,27.1,0,0,0,10,Partially cloudy,partly-cloudy-night,"04130099999,04038099999,04030099999,04018016201,BIKF,BIRK"
reykjavic,2023-11-08T19:00:00,4.9,4.9,-4,52.45,0,0,,0,0,6.5,3.2,301,996.1,0,10,0,0,0,10,Clear,clear-night,"04130099999,04124099999,04030099999,04018016201,BIKF,BIRK"
